Index,Height,Weight,BMI
0,65.78331,112.9925,18.35757285128947
1,71.51521,136.4873,18.762577223041244
2,69.39874,153.0269,22.338895477365856
3,68.2166,142.3354,21.50452594056474
4,67.78781,144.2971,22.077580784355625
5,68.69784,123.3024,18.368870492210554
6,69.80204,141.4947,20.417427811227427
7,70.01472,136.4623,19.571813141641417
8,67.90265,112.3723,17.13495267960901
9,66.78236,120.6672,19.02228995104965
10,66.48769,127.4516,20.270286623845557
11,67.62333,114.143,17.549035936933166
12,68.30248,125.6107,18.930007100763316
13,67.11656,122.4618,19.113417538939302
14,68.27967,116.0866,17.506380001714838
15,71.0916,139.9975,19.475149028635332
16,66.461,129.5023,20.61298205498486
17,68.64927,142.9733,21.329475747138336
18,71.23033,137.9025,19.10905952848277
19,67.13118,124.0449,19.35207051368265
20,67.83379,141.2807,21.586774732156204
21,68.87881,143.5392,21.27141288082744
22,63.48115,97.90191,17.080425285032774
23,68.42187,129.5027,19.44849639830819
24,67.62804,141.8501,21.805855568748488
25,67.20864,129.7244,20.191498109734077
26,70.84235,142.4235,19.952293387412894
27,67.49434,131.5502,20.302704306878763
28,66.53401,108.3324,17.205529912850793
29,65.44098,113.8922,18.697841754170334
30,69.5233,103.3016,15.025999789951014
31,65.8132,120.7536,19.60068089135402
32,67.8163,125.7886,19.229597211296664
33,70.59505,136.2225,19.21752402342561
34,71.80484,140.1015,19.104357394716857
35,69.20613,128.7487,18.8995215860855
36,66.80368,141.7994,22.339358916209132
37,67.65893,121.2319,18.619317072200598
38,67.80701,131.3478,20.084947510676177
39,64.04535,106.7115,18.290816996513566
40,68.57463,124.3598,18.5930293789798
41,65.18357,124.8591,20.66050829771213
42,69.65814,139.6711,20.237641228524293
43,67.96731,137.3696,20.90679961250579
44,65.98088,106.4499,17.191197803594413
45,68.67249,128.7639,19.196657621086295
46,66.88088,145.6837,22.89834486991857
47,67.69868,116.819,17.92050191805798
48,69.82117,143.6215,20.71296640399177
49,69.08817,134.9325,19.87496053629177
50,69.91479,147.0219,21.146622013382338
51,67.33182,126.3285,19.591050250983866
52,70.26939,125.4839,17.86704485115783
53,69.10344,115.7084,17.035804216740544
54,65.38356,123.4892,20.30901858950909
55,70.18447,147.8926,21.108699691274907
56,70.40617,155.8987,22.111496703256766
57,66.54376,128.0742,20.334994770971896
58,66.36418,119.3701,19.055711942291932
59,67.537,133.8148,20.626127846663117
60,66.50418,128.7325,20.463852842787443
61,68.99958,137.5453,20.31187181567706
62,68.30355,129.7604,19.554769890510038
63,67.01255,128.824,20.16887052471129
64,70.80592,135.3165,18.976176127772405
65,68.21951,109.6113,16.55904261551768
66,69.05914,142.4684,21.00261165063568
67,67.73103,132.749,20.344779380895698
68,67.21568,103.5275,16.110596481915273
69,67.36763,124.7299,19.322580379641284
70,65.27033,129.3137,21.340766200580042
71,70.84278,134.0175,18.774457996733265
72,69.92442,140.3969,20.18816565650741
73,64.28508,102.8351,17.49516665974397
74,68.2452,128.5214,19.40118749069237
75,66.35708,120.2991,19.208123129740105
76,68.36275,138.6036,20.8512717299212
77,65.4769,132.9574,21.803859823867462
78,69.71947,115.6233,16.723774117453708
79,67.72554,122.524,18.780765941482667
80,68.63941,134.6254,20.08986459753628
81,66.78405,121.8986,19.215438489229044
82,70.05147,155.3767,22.261194982542968
83,66.27848,128.9418,20.63696061332116
84,69.20198,129.1013,18.95355417058349
85,69.13481,139.4733,20.516090965061412
86,67.36436,140.8901,21.828162981966603
87,70.09297,131.5916,18.8311277333336
